국가(영문명),국가(한글명),2015 ,
Australia,호주,18008 ,a
Austria,오스트리아,6466 ,a
Belgium,벨기에,7175 ,a
Canada,캐나다,23538 ,
Chile,칠레,4263 ,
Czech Republic,체코,6499 ,a
Denmark,덴마크,3029 ,a
Estonia,에스토니아,764 ,
Finland,핀란드,4428 ,a
France,프랑스,42701 ,a
Germany,독일,55752 ,a
Greece,그리스,9518 ,a
Hungary,헝가리,3822 ,a
Iceland,아이슬란드,285 ,a
Ireland,아일랜드,2515 ,
Israel,이스라엘,3092 ,a
Italy,이탈리아,51910 ,a
Japan,일본,91316 ,a
South Korea,대한민국,24755 ,a
Latvia,라트비아,826 ,
Luxemburg,룩셈부르크,443 ,a
Mexico,멕시코,35006 ,
Netherlands,네덜랄드,10133 ,a
New Zealand,뉴질랜드,3515 ,a
Norway,노르웨이,3894 ,a
Poland,폴란드,27409 ,a
Portugal,포르투갈,5721 ,
Slovak Republic,슬로바키아,2623 ,
Slovenia,슬로베니아,1395 ,a
Spain,스페인,33413 ,a
Sweden,스웨덴,6021 ,a
Switzerland,스위스,6046 ,a
Turkey,터키,17939 ,
United Kingdom,영국,37570 ,a
United States of America,미국,281312 ,a
,,,
,,,
,,,
,,,
"출처) a : IRTAD, b : WHO",,,
