2015년도 OECD국가교통사고 현황,,,,
,,,,
국가,교통사고 사고건수(건),교통사고사망자(명),자동차1만대당 사망자,인구10만명당 사망자
그리스,11440 ,793 ,1 ,7 
네덜랄드,-,621 ,1 ,4 
노르웨이,4563 ,117 ,0 ,2 
뉴질랜드,9737 ,319 ,1 ,7 
대한민국,232035 ,4621 ,2 ,9 
덴마크,2853 ,178 ,-,3 
독일,305659 ,3459 ,1 ,4 
라트비아,3692 ,188 ,-,-
룩셈부르크,983 ,36 ,1 ,6 
멕시코,16994 ,3490 ,-,-
미국,1747000 ,35092 ,1 ,11 
벨기에,40303 ,732 ,-,7 
스웨덴,14672 ,259 ,0 ,3 
스위스,17736 ,253 ,0 ,3 
스페인,97756 ,1689 ,1 ,4 
슬로바키아,5502 ,310 ,-,-
슬로베니아,6585 ,120 ,1 ,6 
아이슬란드,912 ,16 ,1 ,5 
아일랜드,5831 ,162 ,-,4 
에스토니아,1392 ,61 ,-,-
영국,146203 ,1804 ,1 ,3 
오스트리아,37960 ,479 ,1 ,6 
이스라엘,12122 ,322 ,1 ,4 
이탈리아,174539 ,3428 ,1 ,6 
일본,536899 ,4885 ,1 ,4 
체코,21561 ,738 ,1 ,7 
칠레,-,2140 ,-,12 
캐나다,118404 ,1858 ,-,-
터키,183011 ,7530 ,-,-
포르투갈,31953 ,593 ,-,6 
폴란드,32967 ,2938 ,1 ,8 
프랑스,56603 ,3461 ,1 ,5 
핀란드,5185 ,270 ,1 ,5 
헝가리,16331 ,644 ,-,7 
호주,-,1205 ,1 ,5 
